epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,4155.59,0.95326,0.69518,1.08366,0.69948,0.64086,0.67384,0.4017,1.49453,1.1241,1.36579,0.0001898,0.0001898,0.0001898
96,4197.49,0.96131,0.70299,1.09165,0.69338,0.65917,0.68268,0.40932,1.49003,1.0878,1.35453,0.0001865,0.0001865,0.0001865
97,4239.48,0.96348,0.70663,1.09185,0.71587,0.64837,0.67961,0.41194,1.4711,1.08304,1.34766,0.0001832,0.0001832,0.0001832
98,4281.72,0.95298,0.69082,1.0865,0.76774,0.6135,0.67425,0.40664,1.49867,1.08249,1.36288,0.0001799,0.0001799,0.0001799
99,4323.88,0.95139,0.68471,1.09032,0.74156,0.65792,0.68463,0.41028,1.51108,1.09031,1.36805,0.0001766,0.0001766,0.0001766
100,4366.12,0.92954,0.6666,1.07955,0.69197,0.65694,0.67237,0.41122,1.48397,1.10413,1.34604,0.0001733,0.0001733,0.0001733
101,4408.29,0.93772,0.68094,1.07702,0.72707,0.62311,0.66327,0.40093,1.50227,1.10473,1.36151,0.00017,0.00017,0.00017
102,4450.61,0.93678,0.67459,1.08434,0.72666,0.65034,0.67686,0.40921,1.48817,1.08138,1.34814,0.0001667,0.0001667,0.0001667
103,4492.63,0.93421,0.67421,1.07581,0.66717,0.657,0.66575,0.40642,1.4819,1.10482,1.33998,0.0001634,0.0001634,0.0001634
104,4534.65,0.93123,0.67212,1.07965,0.71895,0.64013,0.67491,0.41347,1.47449,1.07463,1.34529,0.0001601,0.0001601,0.0001601
105,4576.69,0.92608,0.67509,1.07461,0.69481,0.64458,0.68167,0.41298,1.48309,1.07506,1.36556,0.0001568,0.0001568,0.0001568
106,4619.01,0.92539,0.672,1.06988,0.70278,0.64184,0.68273,0.41463,1.46752,1.08546,1.3541,0.0001535,0.0001535,0.0001535
107,4661.15,0.92259,0.66269,1.06556,0.75551,0.62284,0.6746,0.40954,1.48822,1.09036,1.35994,0.0001502,0.0001502,0.0001502
108,4702.99,0.9056,0.66114,1.07001,0.71415,0.64067,0.67552,0.41134,1.48259,1.07894,1.36387,0.0001469,0.0001469,0.0001469
109,4744.95,0.92174,0.64753,1.07352,0.66788,0.65922,0.65853,0.40444,1.48505,1.09047,1.36125,0.0001436,0.0001436,0.0001436
110,4786.66,0.91642,0.64527,1.06332,0.72209,0.63899,0.67541,0.412,1.47974,1.07913,1.35305,0.0001403,0.0001403,0.0001403
111,4828.39,0.90872,0.64754,1.0654,0.69131,0.66032,0.67379,0.41144,1.47386,1.08166,1.34497,0.000137,0.000137,0.000137
112,4870.01,0.91037,0.64783,1.06732,0.73482,0.64497,0.66965,0.40827,1.47891,1.07905,1.34785,0.0001337,0.0001337,0.0001337
113,4911.86,0.90775,0.63537,1.06324,0.72802,0.61708,0.66828,0.40793,1.46906,1.08034,1.35401,0.0001304,0.0001304,0.0001304
114,4953.6,0.90179,0.63873,1.06139,0.73203,0.63639,0.6734,0.4105,1.49569,1.06857,1.36282,0.0001271,0.0001271,0.0001271
115,4995.52,0.90296,0.63282,1.05292,0.69121,0.67026,0.67639,0.40922,1.50859,1.06435,1.37879,0.0001238,0.0001238,0.0001238
116,5037.64,0.9039,0.62957,1.06048,0.69598,0.64385,0.66783,0.40441,1.49472,1.08847,1.36981,0.0001205,0.0001205,0.0001205
117,5079.59,0.8956,0.63575,1.05634,0.68774,0.67661,0.6747,0.41014,1.4943,1.08659,1.36268,0.0001172,0.0001172,0.0001172
118,5121.65,0.88773,0.63248,1.05199,0.68911,0.64831,0.66819,0.41186,1.46929,1.09279,1.36029,0.0001139,0.0001139,0.0001139
119,5164.53,0.89248,0.62857,1.05808,0.67944,0.64293,0.65904,0.40364,1.48105,1.10217,1.35737,0.0001106,0.0001106,0.0001106
120,5206.6,0.88068,0.6282,1.05394,0.69349,0.65263,0.66934,0.40579,1.48755,1.09013,1.35742,0.0001073,0.0001073,0.0001073
121,5248.81,0.88775,0.61764,1.05173,0.68969,0.66386,0.67556,0.40602,1.49469,1.08959,1.36897,0.000104,0.000104,0.000104
122,5291.13,0.88111,0.6187,1.05011,0.70554,0.64727,0.67032,0.40527,1.49056,1.07608,1.35561,0.0001007,0.0001007,0.0001007
123,5333.65,0.88162,0.62868,1.05054,0.68834,0.66292,0.6714,0.40625,1.48735,1.09162,1.35488,9.74e-05,9.74e-05,9.74e-05
124,5375.76,0.87168,0.61,1.04799,0.67371,0.6679,0.67299,0.41234,1.47942,1.08353,1.35045,9.41e-05,9.41e-05,9.41e-05
125,5417.77,0.8653,0.60755,1.05069,0.70269,0.64299,0.67101,0.4095,1.48574,1.08642,1.35898,9.08e-05,9.08e-05,9.08e-05
126,5459.93,0.87962,0.61279,1.04831,0.70179,0.65534,0.67562,0.41104,1.49946,1.0864,1.36876,8.75e-05,8.75e-05,8.75e-05
127,5502.07,0.85234,0.59947,1.04121,0.69705,0.64194,0.66314,0.40528,1.50832,1.0879,1.37881,8.42e-05,8.42e-05,8.42e-05
128,5544.21,0.86861,0.6086,1.04684,0.71264,0.65343,0.67079,0.41118,1.49183,1.07752,1.37009,8.09e-05,8.09e-05,8.09e-05
129,5586.1,0.88521,0.6212,1.05626,0.71277,0.66213,0.67091,0.4108,1.4902,1.07014,1.36314,7.76e-05,7.76e-05,7.76e-05
130,5628.12,0.8665,0.60318,1.03943,0.73375,0.66023,0.68051,0.41533,1.48455,1.06551,1.36556,7.43e-05,7.43e-05,7.43e-05
131,5670.29,0.8559,0.59351,1.0439,0.73483,0.64339,0.67697,0.41008,1.49412,1.07443,1.36758,7.1e-05,7.1e-05,7.1e-05
132,5712.28,0.86256,0.5991,1.03971,0.71023,0.65095,0.67243,0.41309,1.49787,1.07255,1.37255,6.77e-05,6.77e-05,6.77e-05
133,5754.08,0.85366,0.60044,1.0334,0.71799,0.65081,0.67705,0.41862,1.49797,1.07174,1.36985,6.44e-05,6.44e-05,6.44e-05
134,5796.06,0.86239,0.59759,1.04406,0.70871,0.65282,0.67975,0.41728,1.49772,1.0662,1.36199,6.11e-05,6.11e-05,6.11e-05
135,5837.95,0.8629,0.6057,1.03836,0.68264,0.66796,0.6779,0.4165,1.49678,1.06284,1.36672,5.78e-05,5.78e-05,5.78e-05
136,5880.25,0.84762,0.59497,1.04216,0.69624,0.66153,0.67254,0.41097,1.49957,1.07695,1.36904,5.45e-05,5.45e-05,5.45e-05
137,5922.17,0.84215,0.58248,1.03428,0.70297,0.66541,0.67652,0.41411,1.50439,1.07342,1.37573,5.12e-05,5.12e-05,5.12e-05
